1,1,1925-1926,1925,1926
1,2-3,1926-1927,1926,1927
1,4-5,1927-1928,1927,1928
1,6,1928-1929,1928,1929
1,7,1929-1930,1929,1930
1,8,1930-1931,1930,1931
1,9,1931-1933,1931,1933
1,10,1933-1934,1933,1934
1,11,1934-1935,1934,1935
1,12,1935-1937,1935,1937
1,13,1937-1940,1937,1940
1,14,1940-1942,1940,1942
1,15,1942-1945,1942,1945
1,16,1945-1947,1945,1947
1,17,1947-1948,1947,1948
1,18-19,1948-1949,1948,1949
1,20,1949-1950,1949,1950
2,21-22,1950-1951,1950,1951
2,23-24,1951-1952,1951,1952
2,25-26,1952-1953,1952,1953
2,27,1953-1954,1953,1954
2,28-29,1954-1955,1954,1955
2,30,1955-1956,1955,1956
2,31,1956-1957,1956,1957
2,32,1957-1958,1957,1958
2,33,1958-1959,1958,1959
2,34,1959-1960,1959,1960
2,35-36,1960-1961,1960,1961
3,37-38,1961-1962,1961,1962
3,39-41,1962-1963,1962,1963
3,42-44,1963-1964,1963,1964
3,45-48,1964-1965,1964,1965
4,49-52,1965-1966,1965,1966
4,53-54,1966-1967,1966,1967
4,55-56,1967-1968,1967,1968
4,57-58,1968-1969,1968,1969
4,59-60,1969-1970,1969,1970
5,61-64,1970-1971,1970,1971
5,65-66,1971-1972,1971,1972
16,208-210,1972-1973,1972,1973
16,211-214,1973-1974,1973,1974
16,215-217,1974-1975,1974,1975
16,218-219,1975-1976,1975,1976
17,220-221,1975-1976,1975,1976
17,222-226,1976-1977,1976,1977
17,227-231,1977-1978,1977,1978
18,232-235,1978-1979,1978,1979
5,67-69,1979-1980,1979,1980
5,70-74,1980-1981,1980,1981
6,75-78,1981-1982,1981,1982
6,79-82,1982-1983,1982,1983
6,83-86,1983-1984,1983,1984
18,237,1983-1984,1983,1984
7,87-91,1984-1985,1984,1985
7,92-95,1985-1986,1985,1986
7,96,1986-1987,1986,1987
8,97-100,1986-1987,1986,1987
8,101-104,1987-1988,1987,1988
8,105-106,1988-1989,1988,1989
9,107-108,1988-1989,1988,1989
9,109-112,1989-1990,1989,1990
9,113-114,1990-1991,1990,1991
10,115-117,1990-1991,1990,1991
10,118-120,1991-1992,1991,1992
10,121-125,1992-1993,1992,1993
18,236,1992-1993,1992,1993
11,126-129,1993-1994,1993,1994
11,130-134,1994-1995,1994,1995
11,135,1995-1996,1995,1996
12,136-139,1995-1996,1995,1996
12,140-144,1996-1997,1996,1997
12,145-147,1997-1998,1997,1998
12,148-149,1998-1999,1998,1999
13,150-151,1998-1999,1998,1999
13,152-156,1999-2000,1999,2000
13,157-161,2000-2001,2000,2001
14,162,2000-2001,2000,2001
14,163-167,2001-2002,2001,2002
14,168-172,2002-2003,2002,2003
14,173-175,2003-2004,2003,2004
15,176-178,2003-2004,2003,2004
15,179-183,2004-2005,2004,2005
15,184-187,2005-2006,2005,2006
19,188,2005-2006,2005,2006
19,189-193,2006-2007,2006,2007
19,194-198,2007-2008,2007,2008
20,199,2007-2008,2007,2008
20,200-207,2008-2009,2008,2009
20,208,2009-2010,2009,2010
21,0,2009-2010,2009,2010
22,0,2010-2013,2010,2013
